author,datasets_cited,num_datasets
"Martin Nørgaard, Granville J. Matheson, Hanne D. Hansen, Adam G. Thomas, Graham E. Searle, Gaia Rizzo, Mattia Veronese, Alessio Giacomel, Maqsood Yaqub, Mattéo Tonietto, Thomas Funck, Ashley Gillman, Hugo Boniface, Alexandre Routier, Jelle R. Dalenberg, Tobey J. Betthauser, Franklin Feingold, Christopher J. Markiewicz, Krzysztof J. Gorgolewski, Ross Blair, Stefan Appelhoff, Rémi Gau, Taylor Salo, Guiomar Niso, Cyril Pernet, Christophe Phillips, Robert Oostenveld, Jean‐Dominique Gallezot, Richard E. Carson, Gitte M. Knudsen, Robert B. Innis, Melanie Ganz","ds003352,on006126",2
"John F. Magnotti, Zhengjia Wang, Michael S. Beauchamp",ds003352,1
"Julia Berezutskaya, Mariska J. Vansteensel, Erik J. Aarnoutse, Zachary V. Freudenburg, Giovanni Piantoni, Mariana P. Branco, Nick F. Ramsey","ds003352,ds006502,on002718,on003645",4
"Petr Nejedlý, Václav Křemen, Vladimir Sladky, Jan Cimbálník, Petr Klimeš, Filip Plešinger, Filip Mívalt, Vojtěch Trávníček, Ivo Viščor, Martin Pail, Josef Halámek, Benjamin H. Brinkmann, Milan Brázdil, Pavel Jurák, Gregory A. Worrell","ds003352,on006126",2
"Kay A. Robbins, Dung Truong, Stefan Appelhoff, Arnaud Delorme, Scott Makeig","ds003352,ds004105,ds004106,ds004118,ds004119,ds004120,ds004121,ds004122,ds004123,ds006502,on002718,on003645,on006126",13
"Patricia Clement, Marco Castellaro, Thomas W. Okell, David L. Thomas, Pieter Vandemaele, Sara Elgayar, Aaron Oliver‐Taylor, Thomas Kirk, Joseph G. Woods, Sjoerd B. Vos, Joost P.A. Kuijer, Eric Achten, Matthias J.P. van Osch, BIDS maintainers, Stefan Appelhoff, Ross Blair, Franklin Feingold, Rémi Gau, Christopher J. Markiewicz, Taylor Salo, John A. Detre, Hanzhang Lu, David C. Alsop, Michael A. Chappell, Luis Hernández-García, Jan Petr, Henk Mutsaerts","ds003352,on006126",2
"Nand Chandravadia, Daan Liang, Andrea Gómez Palacio Schjetnan, April A. Carlson, Maïlys C. M. Faraut, Jeffrey M. Chung, Chrystal M. Reed, Ben Dichter, Uri Maoz, Suneil K. Kalia, Taufik A. Valiante, Adam N. Mamelak, Ueli Rutishauser","ds003352,on006126",2
"Tijl Grootswagers, Amanda K. Robinson",ds003352,1
"Harvey Huang, Nicholas M. Gregg, Gabriela Ojeda Valencia, Benjamin H. Brinkmann, Brian N. Lundstrom, Gregory A. Worrell, Kai J. Miller, Dora Hermes",ds003352,1
"Matteo Demuru, Dorien van Blooijs, Willemiek Zweiphenning, Dora Hermes, Frans S. S. Leijten, Maeike Zijlmans, on behalf of the RESPect group",ds003352,1
"Daniel Levitas, Soichi Hayashi, Sophia Vinci‐Booher, Anibal Sólon Heinsfeld, Dheeraj Bhatia, Nicholas Lee, Anthony Galassi, Guiomar Niso, Franco Pestilli",ds003352,1
"Arnaud Delorme, Dung Truong, Ramón Martínez-Cancino, Cyril Pernet, Subha Sivagnanam, Kenneth Yoshimoto, Russell A. Poldrack, Amit Majumdar, Scott Makeig",ds003352,1
"Jan Cimbálník, Jaromír Doležal, Çağdaş Topçu, Michał Lech, Victoria S. Marks, Boney Joseph, Martin Dobiaš, Jamie J. Van Gompel, Gregory A. Worrell, Michał T. Kucewicz",ds003352,1
"Arnaud Delorme, Robert Oostenveld, François Tadel, Alexandre Gramfort, Srikantan S. Nagarajan, Vladimir Litvak","ds003352,ds006502,on002718,on003645",4
"Zaid Zada, Samuel A. Nastase, Bobbi Aubrey, Itamar Jalon, Sebastian Michelmann, Haocheng Wang, Liat Hasenfratz, Werner Doyle, Daniel Friedman, Patricia Dugan, Lucía Melloni, Sasha Devore, Adeen Flinker, Orrin Devinsky, Ariel Goldstein, Uri Hasson",ds003352,1
"Tommaso Fedele, Ece Boran, Valerii Chirkov, Peter Hilfiker, Thomas Grünwald, Lennart Stieglitz, Hennric Jokeit, Johannes Sarnthein","ds003352,ds003374",2
"Kenichi Yuasa, Iris I. A. Groen, Giovanni Piantoni, Stephanie Montenegro, Adeen Flinker, Sasha Devore, Orrin Devinsky, Werner Doyle, Patricia Dugan, Daniel Friedman, Nick F. Ramsey, Natalia Petridou, Jonathan Winawer","ds003352,ds004194,ds005953",3
