title,author,year,datasets_bridged,num_datasets
An EEG Dataset for Multimodal Semantic Alignment and Neural Decoding during Reading and Listening,"Sitong Chen, Beiqianyi Li, Cuilin He, Dongyang Li, Mingyang Wu, Xinke Shen, Song Wang, Xuetao Wei, Xindi Wang, Haiyan Wu, Quanying Liu",2025,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000180,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on004100,on004952,on005261,on006126,on007262,on007895",21
"The Brain, Body, and Behavior Dataset (BBBD): Multimodal Recordings during Educational Videos","Jens Madsen, Nikhil Kuppa, Lucas C. Parra",2025,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on003688,on004100,on004194,on005261,on006126,on007262,on007895",21
Electrocorticography is superior to subthalamic local field potentials for movement decoding in Parkinson’s disease,"Timon Merk, Victoria Peterson, Witold Lipski, Benjamin Blankertz, Robert S. Turner, Ningfei Li, Andreas Horn, R. Mark Richardson, Wolf‐Julian Neumann",2022,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on004100,on005261,on005624,on006126,on007262,on007895",20
Introducing MEG-MASC a high-quality magneto-encephalography dataset for evaluating natural speech processing,"Laura Gwilliams, Graham Flick, Alec Marantz, Liina Pylkkänen, David Poeppel, Jean-Rémi King",2023,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000180,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on004100,on005261,on006126,on007262,on007895",20
Machine learning of brain-specific biomarkers from EEG,"Philipp Bomatter, Joseph Paillard, Pilar Garcés, Jörg Hipp, Denis A. Engemann",2024,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on002778,on004100,on005261,on006126,on007262,on007895",20
Epilepsy Detection with Multi-channel EEG Signals Utilizing AlexNet,"Sohaib Majzoub, Ahmed Fahmy, Fadi N. Sibai, Maha S. Diab, Soliman A. Mahmoud",2023,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on004100,on005261,on005624,on006126,on007262,on007895",20
NIRS-BIDS: Brain Imaging Data Structure Extended to Near-Infrared Spectroscopy,"Robert Luke, Robert Oostenveld, Helena Cockx, Guiomar Niso, Maureen J. Shader, Felipe Orihuela‐Espina, Hamish Innes-Brown, Stephen Tucker, David A. Boas, Meryem A. Yücel, Rémi Gau, Taylor Salo, Stefan Appelhoff, Christopher J. Markiewicz, David McAlpine, The BIDS Maintainers, Luca Pollonini",2025,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on004100,on005261,on005624,on006126,on007262,on007895",20
Exploring the electrophysiology of Parkinson’s disease with magnetoencephalography and deep brain recordings,"Fayed Rassoulou, Alexandra Steina, Christian J. Hartmann, Jan Vesper, Markus Butz, Alfons Schnitzler, Jan V. Hirschmann",2024,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on004100,on004998,on005261,on006126,on007262,on007895",20
Identification of perceived sentences using deep neural networks in EEG,"Carlos Hernández García del Valle, Carolina Méndez‐Orellana, Christian Herff, María Rodriguez-Fernández",2024,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000258,nm000336,on004100,on005261,on006126,on007262,on007895",20
MuseStudio: Brain Activity Data Management Library for Low-Cost EEG Devices,"Miguel Ángel Sánchez‐Cifo, Francisco Montero, Marı́a Teresa López",2021,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on003810,on004100,on005261,on006126,on007262,on007895",20
"fNIRS-BIDS, the Brain Imaging Data Structure Extended to Functional Near-Infrared Spectroscopy","Robert Luke, Robert Oostenveld, Helena Cockx, Guiomar Niso, Maureen J. Shader, Felipe Orihuela‐Espina, Hamish Innes-Brown, Stephen J. Tucker, David A. Boas, Rémi Gau, Taylor Salo, Stefan Appelhoff, Christopher J. Markiewicz, David McAlpine, bids maintainers, Luca Pollonini",2023,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on004100,on005261,on005624,on006126,on007262,on007895",20
Open multi-center intracranial electroencephalography dataset with task probing conscious visual perception,"Alia Seedat, Alex Lepauvre, Jay Jeschke, Urszula Górska, Marcelo Armendáriz, Katarina Bendtz, Simon Henin, Rony Hirschhorn, Tanya Brown, Erika Jensen, Csaba Kozma, David Mazumder, Stephanie Montenegro, Leyao Yu, Niccolò Bonacchi, Diptyajit Das, Kyle Kahraman, Praveen Sripad, Fatemeh Taheriyan, Orrin Devinsky, Patricia Dugan, Werner Doyle, Adeen Flinker, Daniel Friedman, Wendell Lake, Michael Pitts, Liad Mudrik, Mélanie Boly, Sasha Devore, Gabriel Kreiman, Lucía Melloni",2025,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on003688,on004100,on005261,on006126,on007262,on007895",20
A robust method for parkinson's disease diagnosis: Combining electroencephalography signal features with reconstructed phase space images,"Farnaz Garehdaghi, Yashar Sarbaz",2024,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on002778,on004100,on005261,on006126,on007262,on007895",20
Oscillatory Signatures of Parkinson's Disease: Central and Parietal EEG Alterations Across Multiple Frequency Bands,Artem Lensky,2025,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on002778,on004100,on005261,on006126,on007262,on007895",20
Parkinsons Disease Detection via Resting-State Electroencephalography Using Signal Processing and Machine Learning Techniques,Krishna B. Desai,2023,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on002778,on004100,on005261,on006126,on007262,on007895",20
Wireless EEG: A survey of systems and studies,"Guiomar Niso, Elena Romero, Jeremy T. Moreau, Álvaro Araújo, Laurens R. Krol",2022,"nm000125,nm000132,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on002778,on004100,on005207,on005261,on005406,on005624,on005857,on006126,on007069,on007262,on007895",20
Lead-DBS v3.0: Mapping deep brain stimulation effects to local anatomy and global networks,"Clemens Neudorfer, Konstantin Butenko, Simón Oxenford, Nanditha Rajamani, Johannes Achtzehn, Lukas L. Goede, Barbara Hollunder, Ana Sofía Ríos, Lauren Hart, Jordy Tasserie, Kavisha B. Fernando, T. A. Khoa Nguyen, Bassam Al‐Fatly, Matteo Vissani, Michael Fox, R. Mark Richardson, Ursula van Rienen, Andrea A. Kühn, Andreas Husch, Enrico Opri, Till A. Dembek, Ningfei Li, Andreas Horn",2023,"nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on002778,on004100,on005261,on005406,on005624,on005857,on006126,on007262,on007895",20
MNE-BIDS: Organizing electrophysiological data into the BIDS format and facilitating their analysis,"Stefan Appelhoff, Matthew Sanderson, Teon L Brooks, Marijn van Vliet, Romain Quentin, Chris Holdgraf, Maximilien Chaumon, Ezequiel Mikulan, Kambiz Tavabi, Richard Höchenberger, Dominik Welke, Clemens Brunner, Alexander P. Rockhill, Eric B. Larson, Alexandre Gramfort, Mainak Jas",2019,"nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on002778,on004100,on005261,on005406,on005624,on005857,on006126,on007262,on007895",20
"Human EEG recordings for 1,854 concepts presented in rapid serial visual presentation streams","Tijl Grootswagers, Ivy Zhou, Amanda K. Robinson, Martin N. Hebart, Thomas A. Carlson",2022,"nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000263,nm000336,on002778,on004018,on004212,on005406,on005857,on006126,on007262,on007895",20
The BeMoBIL Pipeline for automated analyses of multimodal mobile brain and body imaging data,"Marius Klug, Sein Jeung, Anna Wunderlich, Lukas Gehrke, Janna Protzak, Zakaria Djebbara, Andreas Argubi‐Wollesen, Bettina Wollesen, Klaus Gramann",2022,"nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on002778,on003039,on003846,on004460,on005406,on005857,on006126,on007262,on007895",20
From BIDS-Formatted EEG Data to Sensor-Space Group Results: A Fully Reproducible Workflow With EEGLAB and LIMO EEG,"Cyril Pernet, Ramón Martínez-Cancino, Dung Truong, Scott Makeig, Arnaud Delorme",2021,"nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on000117,on002718,on002778,on003645,on005406,on005857,on006126,on007262,on007895",20
"PET-BIDS, an extension to the brain imaging data structure for positron emission tomography","Martin Nørgaard, Granville J. Matheson, Hanne D. Hansen, Adam G. Thomas, Graham E. Searle, Gaia Rizzo, Mattia Veronese, Alessio Giacomel, Maqsood Yaqub, Mattéo Tonietto, Thomas Funck, Ashley Gillman, Hugo Boniface, Alexandre Routier, Jelle R. Dalenberg, Tobey J. Betthauser, Franklin Feingold, Christopher J. Markiewicz, Krzysztof J. Gorgolewski, Ross Blair, Stefan Appelhoff, Rémi Gau, Taylor Salo, Guiomar Niso, Cyril Pernet, Christophe Phillips, Robert Oostenveld, Jean‐Dominique Gallezot, Richard E. Carson, Gitte M. Knudsen, Robert B. Innis, Melanie Ganz",2022,"nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on002778,on004100,on005261,on005406,on005624,on005857,on006126,on007262,on007895",20
"Mobile BCI dataset of scalp- and ear-EEGs with ERP and SSVEP paradigms while standing, walking, and running","Young-Eun Lee, Gi-Hwan Shin, Minji Lee, Seong–Whan Lee",2021,"nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000273,nm000323,nm000336,nm000338,on002778,on005406,on005857,on006126,on007262,on007895",20
