author,datasets_cited,num_datasets_cited,total_citations,total_citation_impact,avg_confidence
"F Del Pup, A Zanola, LF Tshimanga, A Bertoldo","['ds003947', 'ds003490']",2,3,5,0.5919526432454587
"EF Ester, P Pytel","['ds004521', 'ds004520']",2,2,4,0.7757522302865983
"SM Shatek, AK Robinson, T Grootswagers, TA Carlson","['ds003885', 'ds003887']",2,2,4,0.8177009707689287
"C Qin, R Yang, W You, Z Chen, L Zhu, M Huang","['ds003516', 'ds004015']",2,2,3,0.5785399134457112
"H Ding, X Weng, M Xu, J Shen, Z Wu","['ds003490', 'ds002778']",2,2,3,0.7257121914625169
"DD Zhou, HZ Li, W Wang, L Kuang","['ds003947', 'ds003944']",2,2,2,0.6006656201183797
"MP Stenner, CM Nossa, T Zaehle, E Azañón","['ds005691', 'ds005692']",2,2,2,0.6419611403346063
Ş Gengeç Benli,"['ds003947', 'ds003944']",2,2,2,0.7479282894730569
"M Lahijanian, H Aghajan, Z Vahabi, A Afzal","['ds003805', 'ds003800']",2,4,2,0.7814853852242233
"PE Clayson, SA Baldwin, MJ Larson","['ds004602', 'ds004883']",2,4,1,0.7764640526473524
M Jas,"['ds000117', 'ds000248']",2,3,1,0.5191774924596151
"M Zhao, K Cui, M Marino, F Tian, M Hu","['ds003478', 'ds005305']",2,2,1,0.6848348110914231
"S Jain, R Srivastava","['ds002778', 'ds004504']",2,2,1,0.5801869221031666
"GK Baboo, S Dubey, V Baths","['ds002778', 'ds001787']",2,2,0,0.5502851508557797
"D Rafla, BS Katerman, D Halpern, MJ Kahana","['ds004395', 'ds004789']",2,2,0,0.5433093903958799
JM Rada,"['ds003498', 'ds003029']",2,2,0,0.5709340453147889
PK Sahu,"['ds002691', 'ds004504']",2,2,0,0.6098163834214212
NN Shusharina,"['ds003478', 'ds004186']",2,4,0,0.615300549119711
"H Sotudeh, SM Sakhaei","['ds003775', 'ds000117']",2,2,0,0.6525578896701337
"M Kunwar, N Dhital, N Bhusal","['ds005868', 'ds005866']",2,2,0,0.6893908108770848
"E Bailey, B Nierula, T Stephani, V Nikulin, F Eippert","['ds004389', 'ds004388']",2,2,0,0.6825377292931081
"A Jahani, C Begin, DH Toffa, S Obaid","['ds003029', 'ds004100']",2,2,0,0.7029007360339166
"SM Shateka, AK Robinsona, T Grootswagersb","['ds003885', 'ds003887']",2,2,0,0.6976203680038453
"Y Luo, S Zhu, J Yu, J Ding, Z Xia, W Lu, Q Wang, W Yi","['ds003474', 'ds003478']",2,2,0,0.7086878813803197
"IE Tibermacine, S Russo, F Citeroni","['ds004362', 'ds004022']",2,2,0,0.6001244424283505
"N Sawczuk, DY Rubinstein, MR Sperling","['ds004789', 'ds004809']",2,2,0,0.6049085743725301
"L Sun, C Feng, E Zhang, H Chen, W Jin, J Zhu, L Yu","['ds003029', 'ds004100']",2,2,0,0.6790249277651311
"HJ Heinze, M Deliano, L Büntjen","['ds005691', 'ds005692']",2,2,0,0.633167605251074
"M Rybář, R Poli, I Daly","['ds004517', 'ds004514']",2,2,0,0.887106682509184
