dataset_id,dataset_name,total_citations,cumulative_citations,high_confidence_citations,avg_confidence,total_citation_impact,max_single_citation_impact,citation_years_list
ds004561,ds004561,3,12,3,0.6734913325309754,12,12.0,"[2023, 2025, 2023]"
ds004584,ds004584,5,12,4,0.5947496774420142,12,12.0,"[2024, 2025, 2025, 2025]"
ds004883,ds004883,4,11,4,0.8569365130364895,11,9.0,"[2025, 0, 2024, 2025]"
ds003565,ds003565,3,10,3,0.6552733604113261,10,8.0,"[2021, 0, 2021]"
ds003848,ds003848,1,10,1,0.8713562500476838,10,10.0,[2022]
ds003568,ds003568,4,10,3,0.46936560437083247,10,10.0,"[2024, 2025, 2023]"
ds002181,ds002181,1,9,1,0.6392041012644768,9,9.0,[2021]
ds004625,ds004625,2,9,2,0.7555593010783196,9,9.0,"[2024, 2025]"
ds002218,ds002218,1,8,1,0.7874200102686882,8,8.0,[2021]
ds003517,ds003517,5,8,5,0.6465347810089589,8,4.0,"[2022, 2022, 0, 2022, 2021]"
ds004398,ds004398,1,7,1,0.5444067880511284,7,7.0,[2023]
ds004475,ds004475,2,7,2,0.7218254671990874,7,7.0,"[2024, 2023]"
ds005048,ds005048,3,6,3,0.6546998247504235,6,6.0,"[2025, 2025, 2024]"
ds004276,ds004276,2,6,2,0.6113075995445252,6,6.0,"[2024, 2023]"
ds004388,ds004388,4,6,4,0.6856414291262627,6,5.0,"[2024, 2024, 2022, 2024]"
ds003519,ds003519,3,6,3,0.6463559063275656,6,4.0,"[0, 2021, 2021]"
ds004635,ds004635,3,6,3,0.6656693242986997,6,6.0,"[0, 2024, 2023]"
ds003922,ds003922,1,6,1,0.6923834663629532,6,6.0,[2022]
ds003380,ds003380,2,5,2,0.814500857591629,5,3.0,"[2021, 0]"
ds004200,ds004200,1,5,1,0.6552751716971398,5,5.0,[2022]
ds002908,ds002908,1,5,1,0.6677451834082604,5,5.0,[2022]
ds004771,ds004771,4,5,4,0.6104674195498228,5,4.0,"[2025, 0, 2023, 2024]"
ds005307,ds005307,2,5,2,0.6099043308198453,5,5.0,"[2022, 2024]"
ds003766,ds003766,1,5,1,1.0,5,5.0,[2022]
ds004389,ds004389,3,5,3,0.6694530266523362,5,5.0,"[2022, 2024, 2024]"
ds004505,ds004505,5,5,3,0.725605231821537,2,2.0,"[2023, 2024, 2023]"
ds003506,ds003506,4,5,4,0.7002170792967081,5,3.0,"[2024, 2024, 2024, 2021]"
ds004502,ds004502,3,5,1,0.7031434088945389,3,3.0,[2022]
ds003483,ds003483,3,5,3,0.6495984953641892,5,5.0,"[2021, 2021, 0]"
ds004067,ds004067,1,5,1,0.7744711241126061,5,5.0,[2022]
ds004295,ds004295,2,4,2,0.5242036716639996,4,4.0,"[0, 2023]"
ds004022,ds004022,2,4,2,0.5939826504886151,4,4.0,"[2025, 2023]"
ds004520,ds004520,3,4,1,0.7811010843515397,2,2.0,[2023]
ds004127,ds004127,1,4,1,0.5443753954768181,4,4.0,[2023]
ds004521,ds004521,3,4,1,0.770403376221657,2,2.0,[2023]
ds003810,ds003810,2,4,2,0.8549809263646604,4,4.0,"[2023, 2022]"
ds004457,ds004457,3,4,2,0.8455432583391668,4,4.0,"[2023, 2024]"
ds003710,ds003710,1,4,1,0.869496790766716,4,4.0,[2022]
ds004706,ds004706,3,4,3,0.7336203435063363,4,3.0,"[2024, 2023, 2024]"
ds005065,ds005065,2,4,1,0.7769410175085069,4,4.0,[2024]
ds004574,ds004574,1,4,1,0.6096203175187112,4,4.0,[2023]
ds004579,ds004579,1,4,1,0.5876958400011063,4,4.0,[2023]
ds004460,ds004460,1,4,1,0.7671849489212038,4,4.0,[2024]
ds004580,ds004580,1,4,1,0.640721202492714,4,4.0,[2023]
ds004186,ds004186,9,4,9,0.5716058050427172,4,2.0,"[2025, 2025, 2025, 0, 2024, 2024, 2024, 0, 2025]"
ds004511,ds004511,3,3,0,,0,,[]
ds004252,ds004252,1,3,1,0.764593065083027,3,3.0,[2022]
ds003633,ds003633,1,3,1,0.8295916655659676,3,3.0,[2022]
ds004356,ds004356,2,3,2,0.8459689512848856,3,2.0,"[2024, 2022]"
ds004517,ds004517,3,3,1,0.8539227694272996,0,0.0,[2025]
ds004515,ds004515,4,3,1,0.7039450898766518,1,1.0,[2023]
ds004577,ds004577,4,3,4,0.753927164003253,3,2.0,"[2024, 0, 0, 0]"
ds004011,ds004011,1,3,1,0.7959624391794206,3,3.0,[2022]
ds004514,ds004514,3,3,1,0.9202905955910684,0,0.0,[2025]
ds004642,ds004642,2,3,2,0.7052330115437508,3,3.0,"[2024, 2023]"
ds004944,ds004944,1,3,1,0.9069292688369752,3,3.0,[2024]
ds004551,ds004551,3,2,2,0.5249597422778607,2,1.0,"[2023, 2023]"
ds005545,ds005545,1,2,1,0.7924000704288483,2,2.0,[2025]
ds003887,ds003887,3,2,3,0.7062223016222319,2,2.0,"[0, 2023, 2022]"
ds003522,ds003522,5,2,5,0.7068779123425485,2,2.0,"[2024, 2021, 2024, 2024, 2024]"
ds004040,ds004040,2,2,2,0.5944968415796756,2,2.0,"[2023, 0]"
ds003800,ds003800,4,2,4,0.8522432183474303,2,1.0,"[2022, 2021, 2021, 0]"
ds004660,ds004660,2,2,0,,0,,[]
ds003885,ds003885,2,2,2,0.7447337213158609,2,2.0,"[2022, 0]"
ds004696,ds004696,1,2,1,0.7242656546831132,2,2.0,[2023]
ds004381,ds004381,2,2,2,0.6891717168688776,2,2.0,"[2023, 2024]"
ds004117,ds004117,2,2,2,0.718981156051159,2,2.0,"[2023, 0]"
ds004519,ds004519,3,2,1,0.8426815429329872,0,0.0,[2023]
ds005486,ds005486,1,2,1,0.4948105823993683,2,2.0,[2024]
ds003944,ds003944,7,2,7,0.6595718926191332,2,2.0,"[2024, 2024, 2024, 2023, 2022, 2024, 2024]"
ds004952,ds004952,2,2,2,0.9036723494529725,2,2.0,"[2024, 0]"
ds005340,ds005340,1,2,1,0.9582536494731905,2,2.0,[2024]
ds004369,ds004369,1,1,1,0.6187613394856454,1,1.0,[2022]
ds005692,ds005692,3,1,2,0.650366811901331,1,1.0,"[2025, 2025]"
ds004980,ds004980,1,1,1,0.616513810157776,1,1.0,[2024]
ds004703,ds004703,2,1,2,0.501338482350111,1,1.0,"[2024, 2024]"
ds004977,ds004977,2,1,2,0.7206575739383698,1,1.0,"[2024, 2024]"
ds005121,ds005121,1,1,1,0.7300263297557832,1,1.0,[2024]
ds002712,ds002712,1,1,1,0.5426916244626047,1,1.0,[2023]
ds005691,ds005691,2,1,2,0.6247619336843491,1,1.0,"[2025, 2025]"
ds003805,ds003805,3,1,3,0.7721832066774369,1,1.0,"[2021, 2021, 2022]"
ds005028,ds005028,1,1,1,0.8604601353406908,1,1.0,[2025]
ds004284,ds004284,2,1,2,0.5330410017818212,1,1.0,"[0, 2023]"
ds005363,ds005363,1,1,1,0.6246822130680084,1,1.0,[2024]
ds003816,ds003816,2,1,2,0.8029120047390462,1,1.0,"[2025, 2023]"
ds005089,ds005089,1,1,1,0.8218881618976593,1,1.0,[2024]
ds004196,ds004196,1,1,1,0.9958055019378663,1,1.0,[2023]
ds004350,ds004350,2,1,2,0.47382430717349056,1,1.0,"[2024, 0]"
ds004752,ds004752,4,1,4,0.7099165491014718,1,1.0,"[2024, 2024, 0, 2024]"
ds004019,ds004019,1,1,1,0.8663047304749489,1,1.0,[2022]
ds004621,ds004621,2,1,2,0.6256773094832897,1,1.0,"[2025, 2024]"
ds004840,ds004840,2,1,2,0.7315978467464448,1,1.0,"[0, 2024]"
ds004473,ds004473,1,1,1,0.7442369771003724,1,1.0,[2023]
ds005234,ds005234,4,1,4,0.8087111681699753,1,1.0,"[2025, 2024, 0, 2024]"
ds004657,ds004657,1,1,0,,0,,[]
ds004626,ds004626,1,1,1,0.8866142114996911,1,1.0,[2023]
ds004447,ds004447,1,0,1,0.8419168996810914,0,0.0,[2023]
ds005398,ds005398,2,0,2,0.73973310649395,0,0.0,"[2024, 2025]"
ds005868,ds005868,1,0,1,0.6813953080773354,0,0.0,[2025]
ds005385,ds005385,2,0,2,0.7912684231996537,0,0.0,"[2025, 2024]"
ds004802,ds004802,2,0,2,0.6234110482037067,0,0.0,"[2024, 0]"
ds004262,ds004262,1,0,1,0.6313799840211869,0,0.0,[2023]
ds003708,ds003708,1,0,1,0.8964493811130525,0,0.0,[2021]
ds004785,ds004785,1,0,1,0.7373783192038537,0,0.0,[2024]
ds005688,ds005688,1,0,1,0.9016995137929917,0,0.0,[2025]
ds004995,ds004995,1,0,1,0.7203126686811449,0,0.0,[2024]
ds003523,ds003523,3,0,3,0.7797047343850136,0,0.0,"[2023, 2022, 2022]"
ds005397,ds005397,1,0,1,0.6615275949239731,0,0.0,[2025]
ds004448,ds004448,1,0,1,0.8430550181865692,0,0.0,[2023]
ds004317,ds004317,1,0,1,0.5139664551615716,0,0.0,[2023]
ds004367,ds004367,1,0,0,,0,,[]
ds005383,ds005383,1,0,1,0.9925548559427263,0,0.0,[2025]
ds004860,ds004860,1,0,1,0.8788873699307442,0,0.0,[2023]
ds004784,ds004784,1,0,1,0.8276842224597932,0,0.0,[2023]
ds004279,ds004279,2,0,2,0.7162661278247835,0,0.0,"[2023, 0]"
ds004024,ds004024,1,0,1,0.5488173414766789,0,0.0,[2023]
ds004819,ds004819,1,0,1,0.9041415944695474,0,0.0,[2024]
ds005305,ds005305,1,0,1,0.7038262367248536,0,0.0,[0]
ds005873,ds005873,2,0,2,0.6735041624307633,0,0.0,"[2025, 2025]"
ds005866,ds005866,1,0,1,0.6973863136768341,0,0.0,[2025]
ds004718,ds004718,1,0,1,0.9006265211105348,0,0.0,[2024]
ds004151,ds004151,2,0,2,0.6953955012559891,0,0.0,"[2024, 2025]"
ds004446,ds004446,1,0,1,0.8413561016321184,0,0.0,[2023]
ds006260,ds006260,1,0,1,0.8490027406811715,0,0.0,[2025]
ds004789,ds004789,5,0,5,0.5552238253355027,0,0.0,"[2024, 2025, 2024, 2024, 0]"
ds005960,ds005960,1,0,1,0.503950296342373,0,0.0,[2025]
ds004809,ds004809,3,0,3,0.5775423310200374,0,0.0,"[0, 2024, 2025]"
ds002550,ds002550,1,0,1,0.5893608856201173,0,0.0,[2025]
ds004444,ds004444,1,0,1,0.8517005056142809,0,0.0,[2023]
ds004603,ds004603,1,0,1,0.53043922662735,0,0.0,[2023]
ds004370,ds004370,1,0,1,0.8295752120018006,0,0.0,[2024]
ds005815,ds005815,1,0,1,1.0,0,0.0,[2025]
ds005261,ds005261,1,0,1,0.8310597503185273,0,0.0,[2025]
ds005034,ds005034,1,0,1,0.8567767399549485,0,0.0,[2024]
ds004315,ds004315,1,0,1,0.5074394845962525,0,0.0,[2023]
ds004770,ds004770,2,0,2,0.5685381945222616,0,0.0,"[2024, 2023]"
ds005296,ds005296,1,0,1,0.5970685887336732,0,0.0,[2025]
ds005273,ds005273,1,0,1,0.9446365696191789,0,0.0,[2025]
ds005672,ds005672,3,0,0,,0,,[]
